Rank,book title,book price,rating,author,year of publication,genre,url,first_name,last_name,count genre,link,book,dp,id,ref,slug
53,the christmas fix,9.49,4.6,lucy score,2017,"christmas, romance, holiday, contemporary romance, contemporary fiction, humor",amazon.com/christmas-fix-lucy-score/dp/1728295149/ref=zg_bs_g_books_sccl_3/142-7825522-0098658?psc=1,lucy,score,8,amazon.com,christmas-fix-lucy-score,dp,1728295149,ref=zg_bs_g_books_sccl_3,142-7825522-0098658?psc=1
54,flash cards: sight words,2.88,4.8, scholastic,2018,"educational material, childrens",amazon.com/flash-cards-scholastic-teacher-resources/dp/1338233580/ref=zg_bs_g_books_sccl_4/142-7825522-0098658?psc=1,,scholastic,3,amazon.com,flash-cards-scholastic-teacher-resources,dp,1338233580,ref=zg_bs_g_books_sccl_4,142-7825522-0098658?psc=1
55,i love you like no otter: a funny and sweet animal board book for babies and toddlers this christmas (punderland),5.37,4.9,rose rossner,2020,"picture books, animals, childrens, fiction, love, family, humor",amazon.com/love-you-like-no-otter/dp/1728213746/ref=zg_bs_g_books_sccl_5/142-7825522-0098658?psc=1,rose,rossner,8,amazon.com,love-you-like-no-otter,dp,1728213746,ref=zg_bs_g_books_sccl_5,142-7825522-0098658?psc=1
56,chicka chicka boom boom (board book),4.32,4.9,"bill martin jr., john archambault",1989,"fiction, alphabet",amazon.com/chicka-boom-board-book/dp/1442450703/ref=zg_bs_g_books_sccl_6/142-7825522-0098658?psc=1,bill,"martin jr., john archambault",2,amazon.com,chicka-boom-board-book,dp,1442450703,ref=zg_bs_g_books_sccl_6,142-7825522-0098658?psc=1
57,"from crook to cook: platinum recipes from tha boss dogg's kitchen (snoop dogg cookbook, celebrity cookbook with soul food rec",12.15,4.8,snoop dogg,2018,"cookbooks, cooking",amazon.com/crook-cook-platinum-recipes-kitchen/dp/1452179611/ref=zg_bs_g_books_sccl_7/142-7825522-0098658?psc=1,snoop,dogg,2,amazon.com,crook-cook-platinum-recipes-kitchen,dp,1452179611,ref=zg_bs_g_books_sccl_7,142-7825522-0098658?psc=1
58,the shadow work journal: a guide to integrate and transcend your shadows,17.28,4.6,keila shaheen,2021,"self help, psychology",amazon.com/shadow-work-journal-integrate-transcend/dp/b09kn2qcml/ref=zg_bs_g_books_sccl_8/142-7825522-0098658?psc=1,keila,shaheen,3,amazon.com,shadow-work-journal-integrate-transcend,dp,b09kn2qcml,ref=zg_bs_g_books_sccl_8,142-7825522-0098658?psc=1
59,"interesting facts for curious minds: 1572 random but mind-blowing facts about history, science, pop culture and everything in",12.89,4.6,jordan moore,2022,nonfiction,amazon.com/interesting-facts-curious-minds-mind-blowing/dp/b0b6xft4rh/ref=zg_bs_g_books_sccl_9/142-7825522-0098658?psc=1,jordan,moore,1,amazon.com,interesting-facts-curious-minds-mind-blowing,dp,b0b6xft4rh,ref=zg_bs_g_books_sccl_9,142-7825522-0098658?psc=1
60,there was an old lady who swallowed a turkey!,6.28,4.8,lucille colandro,2016,"picture books, holiday, childrens, fiction, storytime, humor",amazon.com/there-was-lady-swallowed-turkey/dp/0545931908/ref=zg_bs_g_books_sccl_10/142-7825522-0098658?psc=1,lucille,colandro,7,amazon.com,there-was-lady-swallowed-turkey,dp,0545931908,ref=zg_bs_g_books_sccl_10,142-7825522-0098658?psc=1
61,elon musk,20.99,4.7,walter isaacson,2023,"biography, nonfiction, business, technology",amazon.com/elon-musk-walter-isaacson/dp/1982181281/ref=zg_bs_g_books_sccl_11/142-7825522-0098658?psc=1,walter,isaacson,4,amazon.com,elon-musk-walter-isaacson,dp,1982181281,ref=zg_bs_g_books_sccl_11,142-7825522-0098658?psc=1
62,the complete cookbook for young chefs: 100+ recipes that you'll love to cook and eat,9.97,4.8,americas test kitchen kids,2018,cookbook,amazon.com/complete-cookbook-young-chefs/dp/1492670022/ref=zg_bs_g_books_sccl_12/142-7825522-0098658?psc=1,americas,test kitchen kids,1,amazon.com,complete-cookbook-young-chefs,dp,1492670022,ref=zg_bs_g_books_sccl_12,142-7825522-0098658?psc=1
63,llama llama gives thanks,5.67,4.7,anna dewdney,2017,"picture books, childrens, holiday, animals, kids fiction",amazon.com/llama-gives-thanks-anna-dewdney/dp/110199715x/ref=zg_bs_g_books_sccl_13/142-7825522-0098658?psc=1,anna,dewdney,7,amazon.com,llama-gives-thanks-anna-dewdney,dp,110199715x,ref=zg_bs_g_books_sccl_13,142-7825522-0098658?psc=1
64,tom lake: a reese's book club pick,15.33,4.3,ann patchett,2023,"literary, medical, family life - general, world literature - india - general",amazon.com/tom-lake-novel-ann-patchett/dp/006332752x/ref=zg_bs_g_books_sccl_14/142-7825522-0098658?psc=1,ann,patchett,12,amazon.com,tom-lake-novel-ann-patchett,dp,006332752x,ref=zg_bs_g_books_sccl_14,142-7825522-0098658?psc=1
